,TIMESTAMP,lat,lon,LiveBin_1dM,LiveBin_2dM,LiveBin_3dM,LiveBin_4dM,LiveBin_5dM,LiveBin_6dM,LiveBin_7dM,LiveBin_8dM,LiveBin_9dM,LiveBin_10dM,LiveBin_11dM,LiveBin_12dM,LiveBin_13dM,LiveBin_14dM,LiveBin_15dM,LiveBin_16dM
1,,Sm.0,mp.0,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2,2019-10-30 14:00:01,51.96061,07.63504,31.955,1.427,0.391,0.159,0.052,0.116,0.194,0.108,0.418,0.374,2.399,0,0,0,0,0
3,2019-10-30 14:00:02,51.96056,07.63504,31.719,1.445,0.413,0.19,0.157,0.116,0.194,0.108,0.209,1.121,0,0,0,0,0,0
4,2019-10-30 14:00:03,51.96052,07.63504,31.839,1.481,0.435,0.127,0.078,0.093,0.097,0.432,0.209,0.374,0.8,1.68,0,0,0,0
5,2019-10-30 14:00:04,51.96048,07.63503,31.676,1.612,0.519,0.174,0.104,0.255,0.146,0.647,0.836,0,1.599,0,0,0,0,0
6,2019-10-30 14:00:05,51.96043,07.63503,32.493,1.549,0.488,0.238,0.104,0.185,0.049,0.108,0.836,0.374,0,0,0,0,0,0
7,2019-10-30 14:00:06,51.96039,07.63501,32.129,1.495,0.449,0.159,0.104,0.046,0.097,0.108,1.044,0.747,0,1.68,3.242,0,0,0
8,2019-10-30 14:00:07,51.96034,07.63501,32.13,1.546,0.475,0.166,0.157,0.162,0.146,0.216,1.044,0.374,0.8,0,0,0,0,0
9,2019-10-30 14:00:08,51.96030,07.63501,17.512,1.408,0.409,0.166,0.052,0.162,0.194,0,0.418,0.374,1.599,0,0,0,0,0
10,2019-10-30 14:00:09,51.96026,07.63500,10.222,1.291,0.427,0.198,0.052,0.209,0.049,0.108,0.418,0.747,0.8,0,0,0,0,0
11,2019-10-30 14:00:10,51.96021,07.63499,9.989,1.373,0.378,0.103,0.065,0.116,0.097,0.108,0.209,0.374,1.599,0,0,0,0,0
12,2019-10-30 14:00:11,51.96018,07.63498,11.098,1.288,0.422,0.143,0.078,0.185,0.049,0.108,1.044,0.374,0,1.68,0,0,0,0
13,2019-10-30 14:00:12,51.96015,07.63497,9.43,1.206,0.418,0.087,0.144,0.139,0.097,0.216,0.209,0.374,2.399,1.68,0,0,0,0
14,2019-10-30 14:00:13,51.96011,07.63497,12.769,1.246,0.422,0.127,0.144,0.139,0.097,0.324,0.836,0,1.599,1.68,0,0,0,0
15,2019-10-30 14:00:14,51.96008,07.63496,21.39,1.45,0.475,0.198,0.183,0.116,0.097,0.432,0.418,0.374,0.8,0,0,0,0,0
16,2019-10-30 14:00:15,51.96005,07.63495,21.698,1.483,0.422,0.159,0.144,0.116,0.146,0.324,0.209,0.747,0.8,0,0,0,0,0
17,2019-10-30 14:00:16,51.96002,07.63495,21.975,1.476,0.339,0.182,0.104,0.209,0.049,0.324,0.418,0,0.8,6.719,0,0,12.069,0
18,2019-10-30 14:00:17,51.96000,07.63494,21.329,1.37,0.396,0.119,0.144,0.162,0.097,0.108,0.418,0.374,0,3.36,3.242,0,0,0
19,2019-10-30 14:00:18,51.95998,07.63494,29.842,1.518,0.413,0.143,0.039,0.07,0.146,0.108,0.209,0.747,0.8,0,0,0,0,23.295
20,2019-10-30 14:00:19,51.95996,07.63493,30.65,1.413,0.44,0.135,0.078,0.162,0.146,0.108,0.627,0.747,0.8,0,0,0,0,0
21,2019-10-30 14:00:20,51.95995,07.63492,30.473,1.408,0.383,0.23,0.118,0.093,0.049,0.216,0.209,0.374,0.8,0,0,0,0,0
22,2019-10-30 14:00:21,51.95993,07.63491,30.521,1.391,0.506,0.166,0.091,0.07,0.049,0.216,0.418,0,0,0,3.242,0,12.069,0
23,2019-10-30 14:00:22,51.95992,07.63489,30.814,1.361,0.466,0.111,0.104,0.023,0.34,0.108,0.209,0,0.8,0,0,0,0,0
24,2019-10-30 14:00:23,51.95990,07.63487,30.783,1.457,0.444,0.198,0.091,0.209,0.097,0,0,0.374,2.399,0,3.242,0,12.069,0
25,2019-10-30 14:00:24,51.95988,07.63486,30.794,1.53,0.471,0.166,0.065,0.162,0.049,0.108,0.627,1.121,0,0,0,6.256,0,0
26,2019-10-30 14:00:25,51.95987,07.63486,31.22,1.422,0.471,0.127,0.131,0.046,0.194,0.54,0,0.747,0.8,0,3.242,0,0,0
27,2019-10-30 14:00:26,51.95986,07.63486,31.255,1.406,0.444,0.19,0.131,0.07,0.049,0.216,0.627,0.747,0.8,0,3.242,0,0,0
28,2019-10-30 14:00:27,51.95986,07.63486,31.583,1.413,0.387,0.159,0.078,0.139,0.194,0.108,0.209,0.374,0,0,0,0,0,0
29,2019-10-30 14:00:28,51.95986,07.63485,22.046,1.375,0.396,0.135,0.052,0.116,0.097,0.432,0.627,1.494,0,0,0,0,0,0
30,2019-10-30 14:00:29,51.95986,07.63485,15.174,1.192,0.409,0.143,0.039,0.116,0,0.108,0,0,0,1.68,0,0,0,0
31,2019-10-30 14:00:30,51.95986,07.63486,16.353,1.262,0.449,0.159,0.118,0.07,0.049,0.324,1.044,0.374,0,0,0,0,0,0
