"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","CO2","H2O","P_LI75","diag_LI75"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","mmol/m3","mmol/m3","kPa","#"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-11-21 09:54:18",42134,"GPRMC","085413.9","A","5157.87962","N","00736.34380","E","000.08","000.0","211119","002.0","E","51","PTNTHPR,,N,,P,2.5,N*2D","PTNTHPR","NAN","N","NAN","P",2.5,"N","2D",2,38,-0.07,0.02,0.01,10.76,10.47,10.47,10.47,56.15,56.15,56.15,-348.6545,1.679,2.267,1.962,1.268,0.823,0.441,0.194,0.647,0.418,0.747,0.8,0,0,0,0,0,19.63401,290.1462,100.5096,247
"2019-11-21 09:54:19",42135,"GPRMC","085414.9","A","5157.87962","N","00736.34384","E","000.03","000.0","211119","002.0","E","59","PTNTHPR,,N,,P,2.2,N*2A","PTNTHPR","NAN","N","NAN","P",2.2,"N","2A",4,0,-0.08,0.01,0.02,10.77,10.47,10.47,10.47,56.19,56.19,56.19,-337.0878,1.755,2.283,2.019,1.244,0.627,0.58,0.243,0.647,0.836,0,0.8,0,0,0,0,0,19.58114,289.4248,100.5457,247
"2019-11-21 09:54:20",42136,"GPRMC","085415.9","A","5157.87963","N","00736.34388","E","000.05","000.0","211119","002.0","E","53","PTNTHPR,,N,,P,2.6,N*2E","PTNTHPR","NAN","N","NAN","P",2.6,"N","2E",6,1,-0.06,0.03,0.02,10.75,10.46,10.46,10.46,56.2,56.2,56.2,-289.1684,1.687,2.377,2.072,1.379,0.94,0.464,0.146,0.324,0.836,0.374,1.599,0,0,0,0,0,19.61588,289.3101,100.5297,247
"2019-11-21 09:54:21",42137,"GPRMC","085416.9","A","5157.87963","N","00736.34392","E","000.05","000.0","211119","002.0","E","5B","PTNTHPR,,N,,P,2.5,N*2D","PTNTHPR","NAN","N","NAN","P",2.5,"N","2D",2,38,-0.08,0.01,0.02,10.75,10.46,10.46,10.46,56.19,56.19,56.19,-376.7451,1.712,2.56,2.177,1.324,0.705,0.487,0.243,0.108,0,0.374,0,0,0,0,0,0,19.54776,288.9629,100.5096,247
"2019-11-21 09:54:22",42138,"GPRMC","085417.9","A","5157.87963","N","00736.34396","E","000.07","000.0","211119","002.0","E","5C","PTNTHPR,,N,,P,2.6,N*2E","PTNTHPR","NAN","N","NAN","P",2.6,"N","2E",4,0,-0.06,0.03,0.02,10.73,10.47,10.47,10.47,56.16,56.16,56.16,-274.2969,1.712,2.462,2.362,1.205,0.784,0.417,0.34,0.432,0.209,0.747,0.8,0,0,0,0,0,19.47068,289.07,100.5297,247
"2019-11-21 09:54:23",42139,"GPRMC","085418.9","A","5157.87963","N","00736.34400","E","000.07","000.0","211119","002.0","E","5B","PTNTHPR,,N,,P,2.4,N*2C","PTNTHPR","NAN","N","NAN","P",2.4,"N","2C",6,1,-0.1,0.02,0.01,10.75,10.46,10.46,10.46,56.21,56.21,56.21,-368.4832,1.848,2.628,2.459,1.411,0.718,0.51,0.194,0.108,1.253,0.374,0,1.68,3.242,0,0,0,19.53168,289.8447,100.4836,247
"2019-11-21 09:54:24",42140,"GPRMC","085419.9","A","5157.87964","N","00736.34403","E","000.04","000.0","211119","002.0","E","5D","PTNTHPR,,N,,P,2.4,N*2C","PTNTHPR","NAN","N","NAN","P",2.4,"N","2C",2,38,-0.07,0.02,0.01,10.78,10.45,10.45,10.45,56.19,56.19,56.19,-330.4782,1.886,2.49,2.173,1.625,0.692,0.649,0.34,0.216,0.418,2.241,0,1.68,0,0,0,0,19.4761,289.0977,100.4936,247
"2019-11-21 09:54:25",42141,"GPRMC","085420.9","A","5157.87965","N","00736.34405","E","000.06","000.0","211119","002.0","E","52","PTNTHPR,,N,,P,2.5,N*2D","PTNTHPR","NAN","N","NAN","P",2.5,"N","2D",4,0,-0.07,0.01,0.01,10.78,10.43,10.43,10.43,56.18,56.18,56.18,-308.9968,1.774,2.668,2.182,1.506,0.771,0.626,0.292,0.647,0.627,0,1.599,1.68,0,0,0,0,19.47722,288.5456,100.4936,247
