,TIMESTAMP,lat,lon,LiveBin_1dM,LiveBin_2dM,LiveBin_3dM,LiveBin_4dM,LiveBin_5dM,LiveBin_6dM,LiveBin_7dM,LiveBin_8dM,LiveBin_9dM,LiveBin_10dM,LiveBin_11dM,LiveBin_12dM,LiveBin_13dM,LiveBin_14dM,LiveBin_15dM,LiveBin_16dM
2,2019-10-29 10:00:01,51.96481,07.60576,20.649,0.284,0.154,0.087,0.118,0.093,0.049,0.324,1.044,0.374,0.8,0,0,0,0,0
3,2019-10-29 10:00:02,51.96481,07.60576,20.665,0.321,0.167,0.063,0.039,0.255,0.389,0.324,1.044,1.121,3.199,0,3.242,0,0,0
4,2019-10-29 10:00:03,51.96481,07.60576,20.201,0.303,0.176,0.095,0.131,0.232,0.437,0.647,1.044,0.747,0.8,1.68,0,0,12.069,0
5,2019-10-29 10:00:04,51.96481,07.60576,18.203,0.312,0.167,0.079,0.104,0.278,0.243,0.54,1.462,1.494,0,0,3.242,0,0,0
6,2019-10-29 10:00:05,51.96481,07.60576,18.243,0.338,0.075,0.087,0.131,0.162,0.097,0.971,0.836,0.747,2.399,0,0,0,0,0
7,2019-10-29 10:00:06,51.96481,07.60576,17.962,0.326,0.106,0.135,0.078,0.232,0.243,0.324,1.044,1.121,0,0,0,6.256,0,0
8,2019-10-29 10:00:07,51.96481,07.60576,17.996,0.321,0.172,0.071,0.131,0.07,0.146,0.108,1.253,0.747,0,1.68,0,0,0,0
9,2019-10-29 10:00:08,51.96481,07.60576,17.619,0.289,0.11,0.119,0.065,0.116,0.243,0.432,1.462,0.374,1.599,1.68,0,0,0,0
10,2019-10-29 10:00:09,51.96481,07.60576,8.841,0.258,0.128,0.095,0.131,0.139,0.146,0.432,1.044,1.868,0.8,0,9.726,0,0,0
11,2019-10-29 10:00:10,51.96481,07.60576,8.864,0.303,0.128,0.071,0.065,0.255,0.097,0.108,2.089,0,1.599,1.68,0,0,0,0
12,2019-10-29 10:00:11,51.96481,07.60576,9.45,0.303,0.15,0.159,0.17,0.255,0.097,0.647,1.462,1.868,2.399,0,0,0,0,0
13,2019-10-29 10:00:12,51.96481,07.60576,9.701,0.3,0.123,0.071,0.118,0.232,0.243,0.324,1.671,0.747,0.8,1.68,0,0,0,0
14,2019-10-29 10:00:13,51.96481,07.60576,9.023,0.253,0.123,0.071,0.118,0.232,0.243,0.324,1.88,1.121,1.599,0,0,0,12.069,0
15,2019-10-29 10:00:14,51.96481,07.60576,15.43,0.31,0.176,0.055,0.104,0.209,0.194,0.108,0.627,1.121,0.8,0,0,0,0,0
16,2019-10-29 10:00:15,51.96481,07.60575,15.096,0.275,0.132,0.111,0.091,0.116,0.097,0.647,0.836,0.747,1.599,1.68,0,0,0,0
17,2019-10-29 10:00:16,51.96481,07.60575,15.49,0.282,0.101,0.095,0.052,0.185,0.243,0.432,1.462,0.747,0.8,0,0,0,0,0
18,2019-10-29 10:00:17,51.96481,07.60575,15.598,0.296,0.123,0.143,0.144,0.417,0.194,0.216,0.836,1.494,0.8,0,0,0,0,0
19,2019-10-29 10:00:18,51.96481,07.60575,15.277,0.305,0.11,0.063,0.118,0.185,0.243,0.324,1.253,1.121,0,3.36,0,0,0,0
20,2019-10-29 10:00:19,51.96481,07.60575,20.479,0.319,0.158,0.143,0.078,0.162,0.097,0.54,1.044,1.494,0.8,0,0,0,0,0
21,2019-10-29 10:00:20,51.96481,07.60575,20.426,0.279,0.128,0.151,0.065,0.185,0.292,0.324,0.836,1.494,0.8,0,0,0,0,0
22,2019-10-29 10:00:21,51.96481,07.60575,20.35,0.31,0.15,0.111,0.131,0.278,0.389,0.108,1.044,1.121,0,0,0,0,0,0
23,2019-10-29 10:00:22,51.96481,07.60575,20.548,0.282,0.132,0.103,0.118,0.185,0.194,0.54,0.836,0.374,0.8,0,0,6.256,0,0
24,2019-10-29 10:00:23,51.96481,07.60575,21.093,0.336,0.207,0.095,0.026,0.255,0.097,0.647,1.044,0.747,0,0,0,0,0,0
25,2019-10-29 10:00:24,51.96481,07.60575,15.988,0.265,0.158,0.055,0.052,0.046,0.097,0.108,0.836,0,0,0,3.242,0,0,0
26,2019-10-29 10:00:25,51.96481,07.60575,15.925,0.3,0.132,0.111,0.039,0.209,0.097,0.432,1.462,0.374,2.399,3.36,0,6.256,0,0
27,2019-10-29 10:00:26,51.96481,07.60574,16.262,0.298,0.163,0.087,0.039,0.278,0.34,0.216,1.253,1.494,0.8,0,0,0,0,0
28,2019-10-29 10:00:27,51.96481,07.60574,16.042,0.298,0.145,0.079,0.183,0.116,0.243,0.755,1.044,1.494,1.599,0,0,0,0,0
29,2019-10-29 10:00:28,51.96481,07.60574,13.283,0.34,0.136,0.103,0.091,0.139,0.389,0.324,1.044,0,1.599,0,0,0,0,0
30,2019-10-29 10:00:29,51.96481,07.60574,6.872,0.312,0.092,0.119,0.091,0.255,0.34,0.216,1.671,1.121,0,0,0,0,0,0
31,2019-10-29 10:00:30,51.96481,07.60574,6.689,0.282,0.101,0.063,0.078,0.185,0.146,0.324,1.253,0.747,0.8,1.68,0,6.256,0,0
32,2019-10-29 10:00:31,51.96481,07.60574,6.905,0.272,0.132,0.111,0.052,0.232,0.292,0.216,0.627,0.374,1.599,0,0,0,0,0
33,2019-10-29 10:00:32,51.96481,07.60574,7.116,0.305,0.15,0.079,0.118,0.232,0.243,0.54,0.836,1.121,2.399,0,0,0,0,0
