,TIMESTAMP,lat,lon,LiveBin_1dM,LiveBin_2dM,LiveBin_3dM,LiveBin_4dM,LiveBin_5dM,LiveBin_6dM,LiveBin_7dM,LiveBin_8dM,LiveBin_9dM,LiveBin_10dM,LiveBin_11dM,LiveBin_12dM,LiveBin_13dM,LiveBin_14dM,LiveBin_15dM,LiveBin_16dM
1,,Sm.0,mp.0,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2,2019-10-29 12:00:01,51.95327,07.61947,18.634,0.108,0.092,0.071,0.078,0.093,0.243,0.324,0.836,0,0,1.68,0,0,0,0
3,2019-10-29 12:00:02,51.95327,07.61947,18.864,0.143,0.084,0.135,0.118,0.209,0.34,0.54,1.044,1.494,0.8,0,0,0,0,0
4,2019-10-29 12:00:03,51.95326,07.61948,18.679,0.12,0.101,0.016,0.104,0.139,0.146,0.54,1.462,0.374,0.8,0,0,0,0,0
5,2019-10-29 12:00:04,51.95326,07.61948,18.431,0.101,0.075,0.055,0.091,0.139,0.194,0.216,0.418,0.747,1.599,0,0,0,0,0
6,2019-10-29 12:00:05,51.95326,07.61948,14.215,0.157,0.079,0.119,0.052,0.255,0.097,0.324,0,0,0.8,0,0,0,0,0
7,2019-10-29 12:00:06,51.95326,07.61948,10.972,0.094,0.079,0.079,0.078,0.07,0.292,0.432,1.044,0.374,1.599,3.36,0,0,0,0
8,2019-10-29 12:00:07,51.95326,07.61949,11.105,0.131,0.097,0.087,0.065,0.185,0.049,0.216,0.418,0,0,1.68,0,0,0,23.295
9,2019-10-29 12:00:08,51.95326,07.61949,11.238,0.12,0.106,0.119,0.065,0.255,0.146,0.216,0.418,0.747,1.599,0,0,0,0,0
10,2019-10-29 12:00:09,51.95326,07.61949,10.575,0.143,0.084,0.032,0.104,0.209,0.194,0.324,1.044,0.374,0.8,0,0,0,0,0
11,2019-10-29 12:00:10,51.95326,07.61949,11.194,0.136,0.092,0.095,0.104,0.139,0.146,0,0.627,1.121,1.599,1.68,0,0,0,0
12,2019-10-29 12:00:11,51.95326,07.61949,11.791,0.127,0.097,0.103,0.065,0.139,0.097,0,0.209,0.747,0.8,0,0,0,0,0
13,2019-10-29 12:00:12,51.95326,07.61949,11.712,0.145,0.084,0.071,0.065,0.139,0.097,0,0.418,0.747,0,0,3.242,0,0,0
