"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","CO2","H2O","P_LI75","diag_LI75"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","mmol/m3","mmol/m3","kPa","#"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-11-14 09:41:45",28783,"GPRMC","084141.9","A","5157.87864","N","00736.33816","E","000.10","171.7","141119","002.0","E","59","PTNTHPR,,N,,P,-0.4,N*03","PTNTHPR","NAN","N","NAN","P",-0.4,"N","03",6,1,-0.08,0.02,0.11,12.61,11.31,11.31,11.31,60.24,60.24,60.24,-353.5576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.08326,322.5197,99.74858,247
"2019-11-14 09:41:46",28784,"GPRMC","084142.9","A","5157.87865","N","00736.33817","E","000.08","171.7","141119","002.0","E","53","PTNTHPR,,N,,P,0.7,N*2D","PTNTHPR","NAN","N","NAN","P",0.7,"N","2D",2,38,-0.07,0,0.05,12.53,11.3,11.3,11.3,60.24,60.24,60.24,-381.6439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.40989,323.2621,99.74858,247
"2019-11-14 09:41:47",28785,"GPRMC","084143.9","A","5157.87865","N","00736.33817","E","000.06","171.7","141119","002.0","E","5C","PTNTHPR,,N,,P,0.7,N*2D","PTNTHPR","NAN","N","NAN","P",0.7,"N","2D",4,0,-0.04,-0.01,0.06,12.53,11.32,11.32,11.32,60.26,60.26,60.26,-416.3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46127,323.6272,99.74858,247
"2019-11-14 09:41:48",28786,"GPRMC","084144.9","A","5157.87865","N","00736.33818","E","000.22","171.7","141119","002.0","E","52","PTNTHPR,,N,,P,1.6,N*2D","PTNTHPR","NAN","N","NAN","P",1.6,"N","2D",6,1,-0.07,0.01,0.05,12.39,11.31,11.31,11.31,60.24,60.24,60.24,-280.8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50657,323.4458,99.73887,247
"2019-11-14 09:41:49",28787,"GPRMC","084145.9","A","5157.87865","N","00736.33818","E","000.18","171.7","141119","002.0","E","5A","PTNTHPR,,N,,P,1.4,N*2F","PTNTHPR","NAN","N","NAN","P",1.4,"N","2F",2,38,-0.05,0.06,0.04,12.34,11.31,11.31,11.31,60.24,60.24,60.24,-427.9038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41387,323.2654,99.70315,247
"2019-11-14 09:41:50",28788,"GPRMC","084146.9","A","5157.87866","N","00736.33818","E","000.14","171.7","141119","002.0","E","56","PTNTHPR,,N,,P,1.5,N*2E","PTNTHPR","NAN","N","NAN","P",1.5,"N","2E",4,0,-0.05,0.09,0.02,12.42,11.28,11.28,11.28,60.26,60.26,60.26,-338.6883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33497,323.4967,99.74858,247
"2019-11-14 09:41:51",28789,"GPRMC","084147.9","A","5157.87867","N","00736.33817","E","000.06","171.7","141119","002.0","E","5A","PTNTHPR,,N,,P,1.8,N*23","PTNTHPR","NAN","N","NAN","P",1.8,"N","23",6,1,0,0.02,0.06,12.66,11.31,11.31,11.31,60.26,60.26,60.26,-404.7738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52468,323.2375,99.74858,247
"2019-11-14 09:41:52",28790,"GPRMC","084148.9","A","5157.87867","N","00736.33816","E","000.08","171.7","141119","002.0","E","5A","PTNTHPR,,N,,P,1.5,N*2E","PTNTHPR","NAN","N","NAN","P",1.5,"N","2E",2,38,-0.06,0.07,0.03,12.48,11.29,11.29,11.29,60.22,60.22,60.22,-421.2952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62848,323.2961,99.70315,247
