,TIMESTAMP,lat,lon,LiveBin_1dM,LiveBin_2dM,LiveBin_3dM,LiveBin_4dM,LiveBin_5dM,LiveBin_6dM,LiveBin_7dM,LiveBin_8dM,LiveBin_9dM,LiveBin_10dM,LiveBin_11dM,LiveBin_12dM,LiveBin_13dM,LiveBin_14dM,LiveBin_15dM,LiveBin_16dM
1,,Sm.0,mp.0,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2,2019-11-21 09:54:18,51.96466,07.60573,1.679,2.267,1.962,1.268,0.823,0.441,0.194,0.647,0.418,0.747,0.8,0,0,0,0,0
3,2019-11-21 09:54:19,51.96466,07.60573,1.755,2.283,2.019,1.244,0.627,0.58,0.243,0.647,0.836,0,0.8,0,0,0,0,0
4,2019-11-21 09:54:20,51.96466,07.60573,1.687,2.377,2.072,1.379,0.94,0.464,0.146,0.324,0.836,0.374,1.599,0,0,0,0,0
5,2019-11-21 09:54:21,51.96466,07.60573,1.712,2.56,2.177,1.324,0.705,0.487,0.243,0.108,0,0.374,0,0,0,0,0,0
6,2019-11-21 09:54:22,51.96466,07.60573,1.712,2.462,2.362,1.205,0.784,0.417,0.34,0.432,0.209,0.747,0.8,0,0,0,0,0
7,2019-11-21 09:54:23,51.96466,07.60573,1.848,2.628,2.459,1.411,0.718,0.51,0.194,0.108,1.253,0.374,0,1.68,3.242,0,0,0
8,2019-11-21 09:54:24,51.96466,07.60573,1.886,2.49,2.173,1.625,0.692,0.649,0.34,0.216,0.418,2.241,0,1.68,0,0,0,0
9,2019-11-21 09:54:25,51.96466,07.60573,1.774,2.668,2.182,1.506,0.771,0.626,0.292,0.647,0.627,0,1.599,1.68,0,0,0,0
10,2019-11-21 09:54:26,51.96466,07.60573,1.758,2.518,2.353,1.403,0.784,0.626,0.34,0,0.627,0.374,0,1.68,0,0,0,23.295
11,2019-11-21 09:54:27,51.96466,07.60573,1.953,2.656,2.261,1.49,0.758,0.649,0.243,0.216,0.836,0.747,1.599,0,0,6.256,0,0
12,2019-11-21 09:54:28,51.96466,07.60573,1.809,2.558,2.191,1.451,0.718,0.603,0.389,0.324,0.209,0.374,0.8,0,3.242,0,0,0
13,2019-11-21 09:54:29,51.96466,07.60573,1.874,2.584,2.415,1.498,0.758,0.603,0.243,0.216,0.627,0.374,1.599,1.68,0,0,0,0
14,2019-11-21 09:54:30,51.96466,07.60573,1.789,2.494,2.252,1.474,0.575,0.394,0.34,0.324,0.209,0.374,0,3.36,6.484,0,0,23.295
15,2019-11-21 09:54:31,51.96466,07.60573,1.642,2.419,2.142,1.427,0.679,0.533,0.34,0.54,0.627,0.374,0,1.68,3.242,0,0,0
16,2019-11-21 09:54:32,51.96466,07.60573,1.683,2.365,2.235,1.466,0.705,0.464,0.146,0.108,0.418,0,0,1.68,0,0,0,0
17,2019-11-21 09:54:33,51.96466,07.60573,1.757,2.37,2.221,1.53,0.862,0.626,0.292,0.324,0.209,0.374,0.8,1.68,0,0,12.069,0
18,2019-11-21 09:54:34,51.96466,07.60573,1.774,2.499,2.089,1.197,0.653,0.672,0.34,0.863,0.418,1.121,0.8,1.68,0,0,0,0
19,2019-11-21 09:54:35,51.96466,07.60573,1.769,2.602,2.23,1.435,0.64,0.394,0.292,0.54,0.627,0.747,1.599,3.36,0,0,0,0
20,2019-11-21 09:54:36,51.96466,07.60573,1.827,2.708,2.173,1.443,0.692,0.649,0.194,0.971,0.627,0.747,1.599,0,3.242,0,0,0
21,2019-11-21 09:54:37,51.96466,07.60573,1.8,2.63,2.428,1.403,0.653,0.51,0.292,0.432,0.418,0.747,1.599,3.36,3.242,12.511,0,0
22,2019-11-21 09:54:38,51.96466,07.60573,1.677,2.621,2.323,1.379,0.81,0.672,0.437,0.54,0.418,0,1.599,1.68,3.242,0,0,0
23,2019-11-21 09:54:39,51.96466,07.60573,1.83,2.53,2.454,1.443,0.797,0.464,0.243,0.324,0.836,0.747,0.8,1.68,0,6.256,12.069,0
24,2019-11-21 09:54:40,51.96466,07.60573,1.778,2.745,2.226,1.427,0.718,0.835,0.194,0.108,0.836,0.747,0.8,0,0,0,0,0
25,2019-11-21 09:54:41,51.96466,07.60573,1.816,2.684,2.301,1.514,0.771,0.487,0.292,0.108,0,0,0,0,0,0,0,0
26,2019-11-21 09:54:42,51.96466,07.60573,1.834,2.63,2.34,1.395,0.797,0.51,0.34,0.432,0.418,0.747,0.8,1.68,0,0,0,0
27,2019-11-21 09:54:43,51.96466,07.60573,1.823,2.393,2.38,1.292,0.666,0.441,0.194,0.216,0,0.374,0,1.68,3.242,0,0,0
28,2019-11-21 09:54:44,51.96466,07.60573,1.638,2.311,2.045,1.26,0.496,0.464,0.292,0.432,0.627,1.121,0.8,1.68,0,0,0,0
29,2019-11-21 09:54:45,51.96466,07.60573,1.719,2.335,2.12,1.363,0.705,0.348,0.146,0,0.836,0.747,0,0,0,0,0,0
30,2019-11-21 09:54:46,51.96466,07.60573,1.833,2.438,2.191,1.308,0.718,0.719,0.34,0.647,0.209,0,2.399,0,0,0,0,0
