"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","CO2","H2O","P_LI75","diag_LI75"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","mmol/m3","mmol/m3","kPa","#"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-11-21 12:00:01",49677,"GPRMC","105956.9","A","5157.88116","N","00736.35029","E","000.10","021.5","211119","002.0","E","5E","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",6,1,-0.03,0.01,0.01,10.04,8.69,8.69,8.69,69.45,69.45,69.45,6554.2,1.893,2.426,1.795,1.102,0.588,0.301,0.097,0.432,0.418,0.374,0,0,0,0,0,0,18.59691,312.1032,100.2693,247
"2019-11-21 12:00:02",49678,"GPRMC","105957.9","A","5157.88112","N","00736.35031","E","000.09","021.5","211119","002.0","E","5A","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",2,38,-0.04,0,0.03,10.05,8.68,8.68,8.68,69.44,69.44,69.44,6610.375,1.918,2.443,1.803,1.07,0.588,0.278,0.146,0.108,0.627,0,0,0,3.242,0,0,0,18.60501,312.5765,100.2854,247
"2019-11-21 12:00:03",49679,"GPRMC","105958.9","A","5157.88107","N","00736.35034","E","000.34","021.5","211119","002.0","E","5A","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",4,0,-0.04,0.02,0.01,10.04,8.68,8.68,8.68,69.42,69.42,69.42,6676.461,1.898,2.438,1.887,1.149,0.562,0.371,0.243,0.432,0.627,0.374,0.8,0,0,0,0,0,18.59544,313.2144,100.2854,247
"2019-11-21 12:00:04",49680,"GPRMC","105959.9","A","5157.88100","N","00736.35039","E","000.54","021.5","211119","002.0","E","57","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",6,1,-0.05,0.03,0.01,10.01,8.69,8.69,8.69,69.45,69.45,69.45,6471.591,1.907,2.534,1.773,1.118,0.522,0.348,0.292,0.324,0,0.374,0,0,3.242,0,0,0,18.6248,312.2604,100.2693,247
"2019-11-21 12:00:05",49681,"GPRMC","110000.9","A","5157.88096","N","00736.35042","E","000.63","021.5","211119","002.0","E","50","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",2,38,-0.05,0.04,0.01,10,8.69,8.69,8.69,69.43,69.43,69.43,6815.245,1.928,2.506,1.979,0.959,0.575,0.301,0.194,0.216,0.418,0,0,0,0,0,0,0,18.66631,310.9874,100.2854,247
"2019-11-21 12:00:06",49682,"GPRMC","110001.9","A","5157.88093","N","00736.35043","E","000.57","021.5","211119","002.0","E","52","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",4,0,-0.03,0.02,0.02,10.01,8.69,8.69,8.69,69.43,69.43,69.43,6572.374,1.889,2.426,1.825,1.157,0.614,0.255,0.049,0.108,0.418,0.747,0.8,0,0,0,0,0,18.64951,310.9802,100.2693,247
"2019-11-21 12:00:07",49683,"GPRMC","110002.9","A","5157.88091","N","00736.35043","E","000.44","021.5","211119","002.0","E","51","PTNTHPR,,N,,P,8.9,N*2B","PTNTHPR","NaN","N","NaN","P",8.9,"N","2B",6,1,-0.06,0.02,0.02,10,8.69,8.69,8.69,69.41,69.41,69.41,6613.679,1.968,2.386,1.874,1.094,0.392,0.185,0,0.216,0.627,0,0.8,1.68,0,0,0,0,18.62912,311.3687,100.2854,247
"2019-11-21 12:00:08",49684,"GPRMC","110003.9","A","5157.88090","N","00736.35043","E","000.28","021.5","211119","002.0","E","5B","PTNTHPR,,N,,P,9.0,N*23","PTNTHPR","NaN","N","NaN","P",9,"N","23",2,38,-0.05,0.05,-0.02,10.03,8.7,8.7,8.7,69.44,69.44,69.44,6848.289,1.844,2.436,1.707,1.094,0.522,0.394,0.097,0.108,0.209,1.121,0.8,0,0,0,0,0,18.63196,312.0187,100.2495,247
