"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","CO2","H2O","P_LI75","diag_LI75"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","mmol/m3","mmol/m3","kPa","#"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-30 14:00:01",19459,"GPRMC","120006.9","A","5157.63671","N","00738.10281","E","009.39","184.7","301019","002.0","E","50","PTNTHPR,178.3,N,6.1,N,1.1,N*3E","PTNTHPR",178.3,"N",6.1,"N",1.1,"N","3E",6,1,-2.97,-0.77,0.63,8.96,8.88,8.88,8.88,61.14,61.14,61.14,14166.64,31.955,1.427,0.391,0.159,0.052,0.116,0.194,0.108,0.418,0.374,2.399,0,0,0,0,0,20.18332,275.2627,102.1853,247
"2019-10-30 14:00:02",19460,"GPRMC","120007.9","A","5157.63417","N","00738.10274","E","009.20","180.7","301019","002.0","E","55","PTNTHPR,172.0,N,4.8,N,1.9,N*34","PTNTHPR",172,"N",4.8,"N",1.9,"N","34",2,38,-4.23,-0.74,-0.17,9.01,8.89,8.89,8.89,61.16,61.16,61.16,15508.29,31.719,1.445,0.413,0.19,0.157,0.116,0.194,0.108,0.209,1.121,0,0,0,0,0,0,21.41145,274.1525,102.1853,247
"2019-10-30 14:00:03",19461,"GPRMC","120008.9","A","5157.63160","N","00738.10268","E","009.63","182.5","301019","002.0","E","55","PTNTHPR,166.6,N,3.1,N,3.3,N*31","PTNTHPR",166.6,"N",3.1,"N",3.3,"N","31",4,0,-4.75,-0.7,0.29,9.19,8.87,8.87,8.87,61.21,61.21,61.21,15937.88,31.839,1.481,0.435,0.127,0.078,0.093,0.097,0.432,0.209,0.374,0.8,1.68,0,0,0,0,22.61157,279.442,102.1699,247
"2019-10-30 14:00:04",19462,"GPRMC","120009.9","A","5157.62901","N","00738.10219","E","009.46","185.1","301019","002.0","E","58","PTNTHPR,172.9,N,3.7,N,0.1,N*3C","PTNTHPR",172.9,"N",3.7,"N",0.1,"N","3C",6,1,-4.23,0.32,0.24,9.27,8.88,8.88,8.88,61.26,61.26,61.26,599.7773,31.676,1.612,0.519,0.174,0.104,0.255,0.146,0.647,0.836,0,1.599,0,0,0,0,0,21.88111,285.1465,102.1699,247
"2019-10-30 14:00:05",19463,"GPRMC","120010.9","A","5157.62633","N","00738.10181","E","009.70","184.1","301019","002.0","E","58","PTNTHPR,171.6,N,6.1,N,0.2,N*30","PTNTHPR",171.6,"N",6.1,"N",0.2,"N","30",2,38,-3.86,-0.8,0.54,8.66,8.86,8.86,8.86,61.31,61.31,61.31,1158.248,32.493,1.549,0.488,0.238,0.104,0.185,0.049,0.108,0.836,0.374,0,0,0,0,0,0,19.75363,287.5463,102.1853,247
"2019-10-30 14:00:06",19464,"GPRMC","120011.9","A","5157.62362","N","00738.10118","E","009.78","185.5","301019","002.0","E","55","PTNTHPR,157.7,N,6.1,N,6.5,N*34","PTNTHPR",157.7,"N",6.1,"N",6.5,"N","34",4,0,-3.89,0.03,0.2,9.49,8.9,8.9,8.9,61.44,61.44,61.44,1738.197,32.129,1.495,0.449,0.159,0.104,0.046,0.097,0.108,1.044,0.747,0,1.68,3.242,0,0,0,20.36832,290.295,102.196,247
"2019-10-30 14:00:07",19465,"GPRMC","120012.9","A","5157.62097","N","00738.10067","E","009.39","185.7","301019","002.0","E","51","PTNTHPR,168.2,N,3.9,N,1.2,N*30","PTNTHPR",168.2,"N",3.9,"N",1.2,"N","30",6,1,-3.77,-0.86,0.22,9,8.9,8.9,8.9,61.55,61.55,61.55,2549.466,32.13,1.546,0.475,0.166,0.157,0.162,0.146,0.216,1.044,0.374,0.8,0,0,0,0,0,19.42706,287.4301,102.1486,247
"2019-10-30 14:00:08",19466,"GPRMC","120013.9","A","5157.61844","N","00738.10073","E","009.54","186.2","301019","002.0","E","5D","PTNTHPR,175.3,N,2.9,N,1.0,N*3E","PTNTHPR",175.3,"N",2.9,"N",1,"N","3E",2,38,-3.58,-0.67,0.65,9.46,8.9,8.9,8.9,61.65,61.65,61.65,1767.938,17.512,1.408,0.409,0.166,0.052,0.162,0.194,0,0.418,0.374,1.599,0,0,0,0,0,18.78393,287.1059,102.196,247
