"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","fasttable"
"TIMESTAMP","RECORD","rmcid","rmcutc","rmcstatus","rmclatitude","rmcin_s_ind","rmclongitude","rmce_w_indicator","rmcspeed","rmccourse","rmcutcdate","rmcmagvariation","rmcmage_w","rmcchecksum","HMR3000string","compass_mode","compass_heading","compass_headingstat","compass_pitch","compass_pitchstat","compass_roll","compass_rollstat","compass_checksum","Gill_Adr","Gill_Diag","u","v","w","Ts","AirTC_Min","AirTC_Max","AirTC_Avg","RH_Min","RH_Max","RH_Avg","CPC_aux","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","CO2","H2O","P_LI75","diag_LI75"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","m/s","m/s","m/s","degC","DegC","DegC","DegC","%","%","%","p/cm3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","mmol/m3","mmol/m3","kPa","#"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Max","Avg","Min","Max","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-29 11:00:01",10812,"GPRMC","100007.3","A","5158.14910","N","00735.75483","E","000.23","129.9","291019","002.0","E","57","PTNTHPR,,N,,P,12.6,N*1F","PTNTHPR","NaN","N","NaN","P",12.6,"N","1F",1,10,-0.53,0.96,0.37,7.53,9.6,9.6,9.6,72.33,72.33,72.33,-89.2178,10.572,0.232,0.088,0.087,0.065,0.232,0.146,0.647,1.671,0,0,0,0,0,0,0,19.32119,349.9336,101.8315,247
"2019-10-29 11:00:02",10813,"GPRMC","100008.3","A","5158.14907","N","00735.75476","E","000.10","129.9","291019","002.0","E","54","PTNTHPR,,N,,P,12.7,N*1E","PTNTHPR","NaN","N","NaN","P",12.7,"N","1E",3,0,-1.4,1.22,0.11,7.25,9.57,9.57,9.57,72.24,72.24,72.24,-97.4787,19.315,0.246,0.106,0.127,0.131,0.278,0.34,0.432,1.462,0.747,0,0,0,0,0,0,18.97243,345.297,101.8469,247
"2019-10-29 11:00:03",10814,"GPRMC","100009.3","A","5158.14905","N","00735.75472","E","000.08","129.9","291019","002.0","E","5A","PTNTHPR,,N,,P,12.7,N*1E","PTNTHPR","NaN","N","NaN","P",12.7,"N","1E",5,0,-1.3,1.22,-0.02,7.08,9.59,9.59,9.59,72.16,72.16,72.16,-69.39162,20.647,0.221,0.097,0.127,0.065,0.255,0.34,0.324,0.418,1.121,1.599,0,0,0,0,0,18.76822,342.8249,101.8469,247
"2019-10-29 11:00:04",10815,"GPRMC","100010.3","A","5158.14904","N","00735.75469","E","000.12","129.9","291019","002.0","E","52","PTNTHPR,,N,,P,12.7,N*1E","PTNTHPR","NaN","N","NaN","P",12.7,"N","1E",1,10,-1.23,1.27,0.24,8.01,9.58,9.58,9.58,72.11,72.11,72.11,-115.6527,20.665,0.242,0.114,0.087,0.078,0.162,0.049,0.54,0.418,1.494,0.8,0,0,0,0,0,19.06013,347.3054,101.8315,247
"2019-10-29 11:00:05",10816,"GPRMC","100011.3","A","5158.14904","N","00735.75465","E","000.09","129.9","291019","002.0","E","55","PTNTHPR,,N,,P,12.7,N*1E","PTNTHPR","NaN","N","NaN","P",12.7,"N","1E",3,0,-1.33,1.31,0.3,8.1,9.58,9.58,9.58,72.05,72.05,72.05,-148.6963,19.869,0.256,0.084,0.032,0.091,0.162,0.389,0.432,1.044,0,0.8,0,0,0,12.069,0,19.25083,351.1104,101.8469,247
"2019-10-29 11:00:06",10817,"GPRMC","100012.3","A","5158.14905","N","00735.75462","E","000.05","129.9","291019","002.0","E","5C","PTNTHPR,,N,,P,12.7,N*1E","PTNTHPR","NaN","N","NaN","P",12.7,"N","1E",5,0,-1.13,1.08,0.02,7.91,9.6,9.6,9.6,72.07,72.07,72.07,-115.6527,19.629,0.235,0.136,0.095,0.078,0.139,0.097,0.324,1.253,0.374,0.8,0,0,0,0,0,19.28056,351.9537,101.8469,247
"2019-10-29 11:00:07",10818,"GPRMC","100013.3","A","5158.14907","N","00735.75455","E","000.04","129.9","291019","002.0","E","5A","PTNTHPR,,N,,P,12.7,N*1E","PTNTHPR","NaN","N","NaN","P",12.7,"N","1E",1,10,-0.71,0.63,0.26,8.3,9.6,9.6,9.6,72.08,72.08,72.08,-67.73943,19.972,0.263,0.123,0.119,0.039,0.209,0.292,0.755,0.627,0.747,1.599,1.68,3.242,0,12.069,0,19.11808,350.8514,101.8469,247
"2019-10-29 11:00:08",10819,"GPRMC","100014.3","A","5158.14910","N","00735.75448","E","000.05","129.9","291019","002.0","E","56","PTNTHPR,,N,,P,12.6,N*1F","PTNTHPR","NaN","N","NaN","P",12.6,"N","1F",3,0,-1.45,0.98,-0.09,8.09,9.61,9.61,9.61,72.08,72.08,72.08,112.3483,19.658,0.256,0.158,0.079,0.065,0.162,0.194,0.54,0.836,0.747,0,1.68,3.242,0,0,0,19.02553,348.4808,101.8469,247
