,TIMESTAMP,lat,lon,LiveBin_1dM,LiveBin_2dM,LiveBin_3dM,LiveBin_4dM,LiveBin_5dM,LiveBin_6dM,LiveBin_7dM,LiveBin_8dM,LiveBin_9dM,LiveBin_10dM,LiveBin_11dM,LiveBin_12dM,LiveBin_13dM,LiveBin_14dM,LiveBin_15dM,LiveBin_16dM
2,2019-10-29 11:00:01,51.96915,07.59591,10.572,0.232,0.088,0.087,0.065,0.232,0.146,0.647,1.671,0,0,0,0,0,0,0
3,2019-10-29 11:00:02,51.96915,07.59591,19.315,0.246,0.106,0.127,0.131,0.278,0.34,0.432,1.462,0.747,0,0,0,0,0,0
4,2019-10-29 11:00:03,51.96915,07.59591,20.647,0.221,0.097,0.127,0.065,0.255,0.34,0.324,0.418,1.121,1.599,0,0,0,0,0
5,2019-10-29 11:00:04,51.96915,07.59591,20.665,0.242,0.114,0.087,0.078,0.162,0.049,0.54,0.418,1.494,0.8,0,0,0,0,0
6,2019-10-29 11:00:05,51.96915,07.59591,19.869,0.256,0.084,0.032,0.091,0.162,0.389,0.432,1.044,0,0.8,0,0,0,12.069,0
7,2019-10-29 11:00:06,51.96915,07.59591,19.629,0.235,0.136,0.095,0.078,0.139,0.097,0.324,1.253,0.374,0.8,0,0,0,0,0
8,2019-10-29 11:00:07,51.96915,07.59590,19.972,0.263,0.123,0.119,0.039,0.209,0.292,0.755,0.627,0.747,1.599,1.68,3.242,0,12.069,0
9,2019-10-29 11:00:08,51.96915,07.59590,19.658,0.256,0.158,0.079,0.065,0.162,0.194,0.54,0.836,0.747,0,1.68,3.242,0,0,0
10,2019-10-29 11:00:09,51.96915,07.59590,20.109,0.303,0.167,0.111,0.104,0.139,0.194,0.108,0.836,1.121,2.399,1.68,0,0,0,0
11,2019-10-29 11:00:10,51.96915,07.59590,20.146,0.26,0.136,0.111,0.131,0.255,0.194,0.54,0.627,0.374,0,1.68,0,0,0,0
12,2019-10-29 11:00:11,51.96915,07.59590,20.437,0.237,0.119,0.087,0.052,0.162,0.194,0.216,0.627,0.747,1.599,0,0,0,0,0
13,2019-10-29 11:00:12,51.96915,07.59590,8.87,0.192,0.128,0.135,0.104,0.139,0.194,0.216,1.462,1.121,3.199,0,0,0,0,0
14,2019-10-29 11:00:13,51.96915,07.59590,6.637,0.178,0.114,0.135,0.052,0.162,0.194,0.54,0.209,1.121,0,0,0,0,0,0
15,2019-10-29 11:00:14,51.96915,07.59590,6.133,0.192,0.119,0.04,0.052,0.185,0.146,0.216,1.253,0.374,0.8,1.68,0,0,0,0
16,2019-10-29 11:00:15,51.96915,07.59590,5.993,0.223,0.123,0.111,0.144,0.209,0.243,0.324,0.627,0.374,1.599,1.68,0,6.256,0,0
17,2019-10-29 11:00:16,51.96915,07.59590,5.453,0.199,0.145,0.048,0.144,0.162,0.146,0.647,1.044,0.747,0,0,0,0,0,23.295
18,2019-10-29 11:00:17,51.96915,07.59590,8.098,0.178,0.123,0.04,0.104,0.232,0.34,0.755,0.418,1.121,1.599,0,0,0,0,0
19,2019-10-29 11:00:18,51.96915,07.59590,10.509,0.242,0.075,0.095,0.039,0.278,0.194,0.324,0.209,0.747,0,1.68,3.242,0,0,0
20,2019-10-29 11:00:19,51.96915,07.59590,10.478,0.199,0.092,0.063,0.091,0.07,0.292,0.432,0.418,0,0.8,1.68,0,0,0,0
21,2019-10-29 11:00:20,51.96915,07.59590,10.346,0.185,0.114,0.103,0.091,0.116,0.194,0.647,0.836,0.374,0.8,0,0,0,0,0
22,2019-10-29 11:00:21,51.96916,07.59590,10.217,0.235,0.097,0.071,0.157,0.116,0.146,0.755,0.836,0.747,0.8,0,0,0,0,0
23,2019-10-29 11:00:22,51.96916,07.59590,18.72,0.223,0.15,0.071,0.065,0.07,0.194,0.108,1.253,1.121,0.8,0,0,0,0,23.295
24,2019-10-29 11:00:23,51.96916,07.59590,20.452,0.199,0.15,0.095,0.052,0.255,0.194,0.324,0.836,1.121,0,1.68,0,0,0,0
25,2019-10-29 11:00:24,51.96916,07.59590,20.587,0.214,0.141,0.079,0.104,0.255,0.097,0.54,0.418,0.374,0.8,0,0,0,0,0
26,2019-10-29 11:00:25,51.96916,07.59590,20.424,0.277,0.106,0.071,0.118,0.301,0.243,0.54,1.044,0,1.599,1.68,0,0,0,0
27,2019-10-29 11:00:26,51.96916,07.59590,20.317,0.211,0.092,0.079,0.026,0.232,0.194,0.324,0.418,0,1.599,1.68,0,0,0,0
28,2019-10-29 11:00:27,51.96916,07.59590,19.948,0.221,0.114,0.095,0.104,0.116,0.292,0.324,1.462,0.747,1.599,3.36,0,0,0,0
29,2019-10-29 11:00:28,51.96916,07.59590,19.62,0.263,0.141,0.127,0.091,0.185,0.243,0,0.209,1.121,2.399,3.36,3.242,0,0,0
30,2019-10-29 11:00:29,51.96916,07.59590,19.11,0.382,0.163,0.111,0.091,0.278,0.146,0.324,0.418,0.747,0,1.68,0,0,0,0
31,2019-10-29 11:00:30,51.96916,07.59590,19.087,0.289,0.132,0.111,0.104,0.046,0.146,0.216,0.627,0.374,0,0,0,0,0,0
32,2019-10-29 11:00:31,51.96916,07.59590,19.199,0.223,0.114,0.119,0.078,0.139,0.097,0.324,0.209,0,0,6.719,3.242,0,0,0
33,2019-10-29 11:00:32,51.96916,07.59590,12.397,0.188,0.106,0.079,0.078,0.139,0.194,0.216,2.089,0.747,0.8,0,0,0,0,0
34,2019-10-29 11:00:33,51.96916,07.59590,12.638,0.192,0.057,0.095,0.078,0.139,0.389,0.432,1.044,0.374,0,1.68,0,0,0,0
35,2019-10-29 11:00:34,51.96916,07.59590,12.666,0.268,0.097,0.119,0.104,0.185,0.292,0.432,0.418,0.747,0.8,1.68,0,0,0,0
36,2019-10-29 11:00:35,51.96916,07.59590,12.142,0.211,0.11,0.063,0.052,0.093,0.194,0.216,0.836,0.747,0.8,1.68,0,0,0,0
37,2019-10-29 11:00:36,51.96916,07.59589,11.947,0.232,0.075,0.055,0.131,0.139,0.049,0.216,1.253,0.374,0,1.68,0,6.256,0,0
38,2019-10-29 11:00:37,51.96916,07.59589,13.287,0.209,0.141,0.087,0.131,0.162,0.243,0.432,1.253,0,2.399,0,3.242,0,0,0
39,2019-10-29 11:00:38,51.96916,07.59589,13.014,0.211,0.101,0.095,0.065,0.116,0.146,0,0.209,0,0,0,3.242,0,0,0
40,2019-10-29 11:00:39,51.96916,07.59589,12.924,0.256,0.128,0.032,0.091,0.07,0,0.216,0.627,0.747,0,0,0,0,0,0
41,2019-10-29 11:00:40,51.96916,07.59589,12.776,0.19,0.114,0.111,0.118,0.209,0.243,0.324,1.044,0.374,0,1.68,0,0,0,0
42,2019-10-29 11:00:41,51.96916,07.59589,13.005,0.232,0.106,0.04,0,0.139,0.194,0.432,1.044,0.747,0.8,1.68,3.242,0,0,0
43,2019-10-29 11:00:42,51.96916,07.59589,21.122,0.242,0.18,0.055,0.118,0.139,0.292,0.216,0.627,1.121,0,0,0,0,0,0
44,2019-10-29 11:00:43,51.96916,07.59589,20.929,0.244,0.084,0.071,0.131,0.232,0.146,0.432,0.627,0,0,1.68,0,0,0,0
45,2019-10-29 11:00:44,51.96916,07.59589,20.914,0.282,0.167,0.055,0.091,0.093,0.049,0.324,1.253,0.374,0,0,0,0,0,0
46,2019-10-29 11:00:45,51.96916,07.59589,20.609,0.211,0.088,0.111,0.104,0.255,0.194,0.216,0.627,1.121,3.199,1.68,0,0,0,0
47,2019-10-29 11:00:46,51.96916,07.59589,20.127,0.289,0.128,0.079,0.039,0.185,0.194,0.324,1.044,0.374,0.8,0,0,6.256,0,0
48,2019-10-29 11:00:47,51.96916,07.59589,20.295,0.256,0.106,0.079,0.039,0.162,0.097,0.216,0.836,0,0,3.36,0,0,0,0
49,2019-10-29 11:00:48,51.96915,07.59589,20.502,0.256,0.132,0.095,0.091,0.116,0.292,0.216,0.418,0,0.8,1.68,0,6.256,0,0
50,2019-10-29 11:00:49,51.96915,07.59589,19.958,0.263,0.128,0.103,0.118,0.162,0.194,0.432,0.627,1.494,0.8,0,0,0,0,0
51,2019-10-29 11:00:50,51.96915,07.59589,20.15,0.242,0.097,0.079,0.144,0.255,0.049,0.324,0.836,0,0.8,0,0,0,0,0
52,2019-10-29 11:00:51,51.96915,07.59589,19.902,0.272,0.114,0.087,0.144,0.232,0.389,0.432,0.836,1.121,1.599,3.36,0,0,0,0
53,2019-10-29 11:00:52,51.96915,07.59589,12.569,0.214,0.106,0.111,0.17,0.093,0.292,0.216,0.627,0.747,0,0,3.242,0,0,0
54,2019-10-29 11:00:53,51.96915,07.59589,9.555,0.218,0.097,0.119,0.065,0.209,0.292,0.432,0.836,0.374,0,5.039,0,0,0,0
55,2019-10-29 11:00:54,51.96915,07.59589,10.643,0.282,0.119,0.063,0.131,0.116,0.097,0.108,0.418,0.747,0,0,0,0,0,0
56,2019-10-29 11:00:55,51.96915,07.59589,9.729,0.188,0.114,0.111,0.144,0.162,0.097,0.54,1.044,0,0,3.36,0,0,0,0
57,2019-10-29 11:00:56,51.96915,07.59588,9.311,0.214,0.092,0.103,0.144,0.139,0.389,0.432,0.836,0.747,0,0,0,0,0,0
58,2019-10-29 11:00:57,51.96915,07.59588,11.223,0.23,0.11,0.063,0.039,0.185,0.146,0.216,1.462,0.747,0,1.68,0,0,0,0
59,2019-10-29 11:00:58,51.96915,07.59588,13.942,0.183,0.123,0.135,0.091,0.139,0.049,0.216,0.836,1.121,0,0,3.242,0,12.069,0
